,MAE,S,R2,R2(adj),numdata,similarity,maxerr,burn_acc,run_acc
21,0.07988235751440162,0.06373338554191475,0.7264197330319411,0.7231756982457586,2050,511.41418680309954,0.3630079965392188,0.3248,0.34068
22,0.07577812439822355,0.0615747652971923,0.7449709799482954,0.7420198244607155,2100,775.904594572533,0.32933919893462016,0.3196,0.33797
23,0.07928969788347066,0.06253620550206328,0.7242375670308026,0.7211216073362354,2150,573.3757322869059,0.4079818817885751,0.3429,0.32622
24,0.09097061751342313,0.06980313682888013,0.6482101078097425,0.6443265027441647,2200,894.7105842253724,0.4226907568752325,0.3384,0.33628
25,0.08224532059950639,0.0657533207227018,0.6950829144913504,0.6917924423455736,2250,692.2898915436115,0.35841645846099635,0.3211,0.32582
26,0.07737566739388756,0.06365797871404058,0.7218843270954598,0.7189490693339343,2300,643.2089176157642,0.3790451345300334,0.3375,0.32702
27,0.07162798622802496,0.0606805357530093,0.7542013238738817,0.751662955445729,2350,1312.8771088165997,0.3670132570422586,0.318,0.33501
28,0.06793955016523079,0.05996672737457627,0.7699640862979079,0.7676385336741294,2400,708.183760006598,0.34861405404580714,0.3224,0.32805
29,0.09500442532352815,0.07359128282891168,0.5950939211700932,0.5910849500925694,2450,825.6582555600908,0.4639430315482379,0.3265,0.33825
30,0.08379134784966952,0.06781609593113226,0.6641041330047244,0.6608456444000814,2500,313.242752089965,0.3827339164293748,0.33,0.33353
31,0.07686618055389406,0.06385772944812536,0.7196987571678467,0.7170334521646884,2550,197.81056948137774,0.3635734287346749,0.3129,0.33583
32,0.0735629461338225,0.06267623391305592,0.7423456129312079,0.7399432410238066,2600,66.84468130927115,0.35081854272818636,0.3485,0.32698
33,0.06966222608854523,0.060772234762831286,0.7573453329208233,0.7551259304780259,2650,278.0596315596875,0.38472006360759325,0.3264,0.32267
34,0.09359951485896129,0.07090783968678065,0.6059343062824243,0.6023974414173451,2700,197.0724932974256,0.44271461313366256,0.3268,0.3333
35,0.08426384476581686,0.06655453496418914,0.6682466197852586,0.6653236825146441,2750,105.63472175776626,0.3721509762092772,0.3346,0.32489
36,0.07817077147675462,0.06588815230617315,0.7091882890535552,0.7066722540633914,2800,501.34301788048805,0.3898043968371039,0.3286,0.33003
37,0.07335766188939084,0.06268989362283511,0.7425488281219355,0.7403608578226885,2850,261.23736636600495,0.3733425485006677,0.3519,0.32369
38,0.06890078354644776,0.06047039542755887,0.7638355321823473,0.7618633863133064,2900,332.1876521185001,0.3298046421522809,0.3221,0.32002
39,0.09217575654144405,0.07347127849484077,0.6049950894433065,0.6017529150748522,2950,131.1469240115454,0.49823030438995375,0.3253,0.3095
40,0.08113732489880283,0.06613958554741736,0.688178796314574,0.6856624180736695,3000,373.4499409198048,0.4648903870483939,0.309,0.32673
41,0.07648398659756846,0.0642139475440107,0.7161998149530802,0.7139474325320729,3050,78.54346583317279,0.43895961765023717,0.3066,0.32867
42,0.07217147246898717,0.06131761335525546,0.7510978077294506,0.7491545245106824,3100,699.7389890105738,0.4220422766915105,0.2848,0.32053
